Category,Subcategory,Item Name,Brand,Mrp,Selling Price,Weight,Delivery ETA,Availability,Inventory,Store ID,Base Product ID,Shelf Life,Timestamp,Pincode,Clicked Label,URL,Image
Vegetables,All,Peeled Garlic (Bellulli),Unknown,150,63,100 g,10 minutes,In Stock,7,33966,508001,N/A,2026-01-17 01:08:06,560001,Direct/Smart,https://blinkit.com/prn/peeled-garlic-(bellulli)/prid/508001,https://cdn.grofers.com/da/cms-assets/cms/product/d3dc6f2b-7d67-4e41-8da8-40d08967796e.png
Vegetables,All,Organically Grown Cauliflower (Hoo Kosu),Unknown,107,83,300 g,10 minutes,In Stock,4,33966,602182,N/A,2026-01-17 01:08:06,560001,Direct/Smart,https://blinkit.com/prn/organically-grown-cauliflower-(hoo-kosu)/prid/602182,https://cdn.grofers.com/da/cms-assets/cms/product/c59da32a-cb09-4dbc-b42b-3007cd7a781b.png
Vegetables,All,Organically Grown Ginger (Shunti),Unknown,34,27,100 g,10 minutes,In Stock,5,33966,602584,N/A,2026-01-17 01:08:06,560001,Direct/Smart,https://blinkit.com/prn/organically-grown-ginger-(shunti)/prid/602584,https://cdn.grofers.com/da/cms-assets/cms/product/6d5e4c9a-0e9a-46e8-8b84-d7cb1f4b5fc7.png
Vegetables,All,Onion (Eerulli),Freshbury,38,29,1 kg,10 minutes,In Stock,50,33966,530158,N/A,2026-01-17 01:08:06,560001,Direct/Smart,https://blinkit.com/prn/onion-(eerulli)/prid/530158,https://cdn.grofers.com/da/cms-assets/cms/product/f53c1ea1-cfa0-438b-a14c-b4f5ebeed7dd.png
Vegetables,All,Onion (Eerulli),Freshbury,54,42,950 - 1050 g,10 minutes,Out of Stock,0,33966,391306,N/A,2026-01-17 01:08:06,560001,Direct/Smart,https://blinkit.com/prn/onion-(eerulli)/prid/391306,https://cdn.grofers.com/da/cms-assets/cms/product/1ec5d712-5139-43b6-b4c9-b0e2efeeeb2c.png
Vegetables,All,Potato (Alugadde),Unknown,34,29,1 kg,10 minutes,In Stock,50,33966,354997,N/A,2026-01-17 01:08:06,560001,Direct/Smart,https://blinkit.com/prn/potato-(alugadde)/prid/354997,https://cdn.grofers.com/da/cms-assets/cms/product/47aacb59-7ce0-438a-9c8d-208e6901fef4.png
Vegetables,All,Potato - Pack of 2 (Alugadde),Unknown,70,57,2 x 1 kg,10 minutes,In Stock,48,33966,596513,N/A,2026-01-17 01:08:06,560001,Direct/Smart,https://blinkit.com/prn/potato---pack-of-2-(alugadde)/prid/596513,https://cdn.grofers.com/da/cms-assets/cms/product/6ba5c975-f3cd-426e-81fa-6569998f2b85.png
Vegetables,All,Potato (Alugadde),Unknown,65,48,(0.95-1.05) kg,10 minutes,Out of Stock,0,33966,421746,N/A,2026-01-17 01:08:06,560001,Direct/Smart,https://blinkit.com/prn/potato-(alugadde)/prid/421746,https://cdn.grofers.com/da/cms-assets/cms/product/f78d7a28-411e-4b8c-b19b-dbeed64020a1.png
Vegetables,All,Organically Grown Green Cucumber (Southekayi),Freshbury,35,28,500 g,10 minutes,In Stock,6,33966,602591,N/A,2026-01-17 01:08:06,560001,Direct/Smart,https://blinkit.com/prn/organically-grown-green-cucumber-(southekayi)/prid/602591,https://cdn.grofers.com/da/cms-assets/cms/product/62b2c463-ebc7-4074-82eb-9f6c44a09175.png
Vegetables,All,Organically Grown Chilli (Menasinakayi),Unknown,25,20,100 g,10 minutes,In Stock,11,33966,602184,N/A,2026-01-17 01:08:06,560001,Direct/Smart,https://blinkit.com/prn/organically-grown-chilli-(menasinakayi)/prid/602184,https://cdn.grofers.com/da/cms-assets/cms/product/e1c633a2-6539-4254-9772-64859f7781f6.png
Vegetables,All,Hybrid Tomato 500 g,Unknown,35,21,500 g,10 minutes,In Stock,50,33966,3881,N/A,2026-01-17 01:08:06,560001,Direct/Smart,https://blinkit.com/prn/hybrid-tomato-500-g/prid/3881,https://cdn.grofers.com/da/cms-assets/cms/product/4cd11feb-f6df-4830-9fa1-a5f39f08fc3f.png
Vegetables,All,Hybrid Tomato 500 g - Pack of 2,Unknown,70,42,2 x 500 g,10 minutes,In Stock,45,33966,487714,N/A,2026-01-17 01:08:06,560001,Direct/Smart,https://blinkit.com/prn/hybrid-tomato-500-g---pack-of-2/prid/487714,https://cdn.grofers.com/da/cms-assets/cms/product/cdce8f1f-ff2d-43e6-a441-c8aa62a99f74.png
Vegetables,All,Orange Carrot,Unknown,36,29,500 g,10 minutes,In Stock,7,33966,327916,N/A,2026-01-17 01:08:06,560001,Direct/Smart,https://blinkit.com/prn/orange-carrot/prid/327916,https://cdn.grofers.com/da/cms-assets/cms/product/3de12ff4-882f-40c0-98d8-ff082ecdcf58.png
Vegetables,All,Curry Leaves (Karibevina Soppu),Unknown,28,21,100 g,10 minutes,In Stock,13,33966,17643,N/A,2026-01-17 01:08:06,560001,Direct/Smart,https://blinkit.com/prn/curry-leaves-(karibevina-soppu)/prid/17643,https://cdn.grofers.com/da/cms-assets/cms/product/e80c9bc6-02e3-47af-8a45-bc8dba262eab.png
Vegetables,All,Mixed Sprouts (Molke Kalu),Unknown,75,46,200 g,10 minutes,In Stock,4,33966,196281,N/A,2026-01-17 01:08:06,560001,Direct/Smart,https://blinkit.com/prn/mixed-sprouts-(molke-kalu)/prid/196281,https://cdn.grofers.com/da/cms-assets/cms/product/5b817cea-9c04-4699-8ab2-02de62e13f3e.png
Vegetables,All,English Cucumber (Southekayi),Unknown,18,12,500 g,10 minutes,In Stock,12,33966,23343,N/A,2026-01-17 01:08:06,560001,Direct/Smart,https://blinkit.com/prn/english-cucumber-(southekayi)/prid/23343,https://cdn.grofers.com/da/cms-assets/cms/product/60c2cecc-5df5-48f4-8a55-194914079d59.png
Vegetables,All,Green Cucumber (Southekayi),Freshbury,27,20,500 g,10 minutes,In Stock,11,33966,10088,N/A,2026-01-17 01:08:06,560001,Direct/Smart,https://blinkit.com/prn/green-cucumber-(southekayi)/prid/10088,https://cdn.grofers.com/da/cms-assets/cms/product/e29ff4ab-7a96-4b90-b251-0489fa0416a2.png
Vegetables,All,Organically Grown Beetroot,Unknown,77,58,250 g,10 minutes,In Stock,7,33966,602177,N/A,2026-01-17 01:08:06,560001,Direct/Smart,https://blinkit.com/prn/organically-grown-beetroot/prid/602177,https://cdn.grofers.com/da/cms-assets/cms/product/85cc6e4a-26a9-4a9d-ae68-413e0e45a096.png
Vegetables,All,Organically Grown Bitter Gourd (Hagalakayi),Freshbury,49,38,250 g,10 minutes,In Stock,3,33966,602179,N/A,2026-01-17 01:08:06,560001,Direct/Smart,https://blinkit.com/prn/organically-grown-bitter-gourd-(hagalakayi)/prid/602179,https://cdn.grofers.com/da/cms-assets/cms/product/dd96558f-08ca-4d9a-b763-fa2245864ce5.png
Vegetables,All,Green Peas (Peeled) (Battani),Unknown,250,72,200 g,10 minutes,In Stock,2,33966,327128,N/A,2026-01-17 01:08:06,560001,Direct/Smart,https://blinkit.com/prn/green-peas-(peeled)-(battani)/prid/327128,https://cdn.grofers.com/da/cms-assets/cms/product/7d82028c-c189-4e8d-bff8-a31f197f5cdd.png
