Category,Subcategory,Item Name,Brand,Mrp,Selling Price,Weight,Delivery ETA,Availability,Inventory,Store ID,Base Product ID,Shelf Life,Timestamp,Pincode,Clicked Label,URL,Image
Vegetables,All,American Sweet Corn Cob (Bhutta),Unknown,36,26,1 piece,N/A,In Stock,2,41223,445188,N/A,1/15/2026 20:21,560001,Direct/Smart,https://blinkit.com/prn/american-sweet-corn-cob-(bhutta)/prid/445188,https://cdn.grofers.com/da/cms-assets/cms/product/b5889fbc-a302-4603-bd80-32cde0dc7890.png
Vegetables,All,Arvi,Unknown,32,24,(250-300) g,N/A,In Stock,1,41223,3885,N/A,1/15/2026 20:21,560001,Direct/Smart,https://blinkit.com/prn/arvi/prid/3885,https://cdn.grofers.com/da/cms-assets/cms/product/e9b296d8-b1da-4fdf-b520-4c2a696f753a.png
Vegetables,All,Baby Onion (Sirka Pyaz),Unknown,20,16,250 g,N/A,In Stock,3,41223,447623,N/A,1/15/2026 20:21,560001,Direct/Smart,https://blinkit.com/prn/baby-onion-(sirka-pyaz)/prid/447623,https://cdn.grofers.com/da/cms-assets/cms/product/1b2ccf0a-2720-4828-b3f8-0ddaa4b6ff17.png
Vegetables,All,Bajji Chilli,Unknown,33,24,250 g,N/A,In Stock,3,41223,421718,N/A,1/15/2026 20:21,560001,Direct/Smart,https://blinkit.com/prn/bajji-chilli/prid/421718,https://cdn.grofers.com/da/cms-assets/cms/product/28f32b08-7177-424a-8a8e-3f4b3b8e937a.png
Vegetables,All,Beetroot (Chukandar),Unknown,36,27,(500-600) g,N/A,In Stock,9,41223,166848,N/A,1/15/2026 20:21,560001,Direct/Smart,https://blinkit.com/prn/beetroot-(chukandar)/prid/166848,https://cdn.grofers.com/da/cms-assets/cms/product/54f29f85-51ef-4f56-9d8a-e3c3fbb2109e.png
Vegetables,All,Brinjal Bharta (Baingan),Unknown,36,29,(500-700) g,N/A,In Stock,2,41223,9098,N/A,1/15/2026 20:21,560001,Direct/Smart,https://blinkit.com/prn/brinjal-bharta-(baingan)/prid/9098,https://cdn.grofers.com/da/cms-assets/cms/product/49ac30ac-04bd-4e2e-b4bd-84f3594fe2ed.png
Vegetables,All,Broad Beans 250 g (Sem Phali),Unknown,34,27,250 g,N/A,In Stock,6,41223,3928,N/A,1/15/2026 20:21,560001,Direct/Smart,https://blinkit.com/prn/broad-beans-250-g-(sem-phali)/prid/3928,https://cdn.grofers.com/da/cms-assets/cms/product/68e8e766-02be-486c-946d-e69b788288a2.png
Vegetables,All,Broccoli,Freshbury,41,33,300-500 g,N/A,In Stock,9,41223,559078,N/A,1/15/2026 20:21,560001,Direct/Smart,https://blinkit.com/prn/broccoli/prid/559078,https://cdn.grofers.com/da/cms-assets/cms/product/079cdbf5-0e6e-4de4-ad0a-447e56ae8016.png
Vegetables,All,Broccoli Florets,Unknown,43,32,100 g,N/A,In Stock,2,41223,694153,N/A,1/15/2026 20:21,560001,Direct/Smart,https://blinkit.com/prn/broccoli-florets/prid/694153,https://cdn.grofers.com/da/cms-assets/cms/product/c4fb211a-fbd9-45d1-ab02-d53ce42d15cf.png
Vegetables,All,Brown Chana Sprouts,Unknown,70,42,(150-160) g,N/A,In Stock,3,41223,445280,N/A,1/15/2026 20:21,560001,Direct/Smart,https://blinkit.com/prn/brown-chana-sprouts/prid/445280,https://cdn.grofers.com/da/cms-assets/cms/product/2483b1e4-6b95-4777-82ba-9ea62a37f40d.png
Vegetables,All,Button Mushroom,Unknown,58,44,180 g,N/A,In Stock,3,41223,253317,N/A,1/15/2026 20:21,560001,Direct/Smart,https://blinkit.com/prn/button-mushroom/prid/253317,https://cdn.grofers.com/da/cms-assets/cms/product/9bc0b3fd-3aac-4f5f-a8f7-0c0b63cef1bb.png
Vegetables,All,Cabbage (Patta Gobhi),Unknown,21,17,1 piece (400-600 g),N/A,In Stock,6,41223,339152,N/A,1/15/2026 20:21,560001,Direct/Smart,https://blinkit.com/prn/cabbage-(patta-gobhi)/prid/339152,https://cdn.grofers.com/da/cms-assets/cms/product/af44ec08-3e9d-442e-8f7d-17ff2a2b260b.png
Vegetables,All,Cauliflower (Phool Gobhi),Unknown,36,28,400 g,N/A,In Stock,8,41223,339153,N/A,1/15/2026 20:21,560001,Direct/Smart,https://blinkit.com/prn/cauliflower-(phool-gobhi)/prid/339153,https://cdn.grofers.com/da/cms-assets/cms/product/9cb3146c-eaf7-434d-9743-99708a9d9b15.png
Vegetables,All,Cauliflower Florets (Phool Gobhi),Unknown,110,46,200 g,N/A,In Stock,1,41223,502593,N/A,1/15/2026 20:21,560001,Direct/Smart,https://blinkit.com/prn/cauliflower-florets-(phool-gobhi)/prid/502593,https://cdn.grofers.com/da/cms-assets/cms/product/4bf26d07-f772-4e12-b558-ac31b761a79a.png
Vegetables,All,Chenopodium (Bathua),Freshbury,34,25,250 g,N/A,In Stock,1,41223,438225,N/A,1/15/2026 20:21,560001,Direct/Smart,https://blinkit.com/prn/chenopodium-(bathua)/prid/438225,https://cdn.grofers.com/da/cms-assets/cms/product/7a23699b-c475-4c48-b956-cfdc925e0232.png
Vegetables,All,Cherry Tomatoes,Unknown,150,58,200 g,N/A,In Stock,1,41223,440229,N/A,1/15/2026 20:21,560001,Direct/Smart,https://blinkit.com/prn/cherry-tomatoes/prid/440229,https://cdn.grofers.com/da/cms-assets/cms/product/d5673d4f-5d68-4129-9181-e96152253570.png
