Category,Subcategory,Item Name,Brand,Mrp,Selling Price,Weight,Delivery ETA,Availability,Inventory,Store ID,Base Product ID,Shelf Life,Timestamp,Pincode,Clicked Label,URL,Image
Fresh Vegetables,All,Mahabaleshwar Strawberry,Fruits and Vegetables,115,115,N/A,N/A,In Stock,Unknown,Unknown,2.06452E+18,N/A,1/16/2026 13:35,560001,Smart Nav,https://www.swiggy.com/instamart/item/2064520365403461465,"https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/NI_CATALOG/IMAGES/ciw/2025/12/19/cd610cee-0239-4396-abef-cab6c6515cfd_RC0Y143AUT_MN_18122025.png"
Fresh Vegetables,All,Premium Nagpur Orange (Kittale Hannu),Fruits and Vegetables,115,115,N/A,N/A,In Stock,Unknown,Unknown,4.85081E+18,N/A,1/16/2026 13:35,560001,Smart Nav,https://www.swiggy.com/instamart/item/4850812120007006064,"https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/NI_CATALOG/IMAGES/ciw/2025/12/18/a5f651d9-cadb-4494-a219-7254fe638274_81IPPGQMG9_MN_18122025.png"
Fresh Vegetables,All,Robusta Banana (Baalehannu),Fruits and Vegetables,25,25,N/A,N/A,In Stock,Unknown,Unknown,7.55336E+18,N/A,1/16/2026 13:35,560001,Smart Nav,https://www.swiggy.com/instamart/item/7553359538982726651,"https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/NI_CATALOG/IMAGES/CIW/2025/12/22/7fa61c63-4105-4f41-88bf-bd469a8bf3c5_1005.jpg"
Fresh Vegetables,All,Baby Yelakki Banana (Yelakki baalehannu),Fruits and Vegetables,45,45,N/A,N/A,In Stock,Unknown,Unknown,8.65522E+18,N/A,1/16/2026 13:35,560001,Smart Nav,https://www.swiggy.com/instamart/item/8655217410006184999,"https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/NI_CATALOG/IMAGES/ciw/2025/12/19/a8263f21-4a0b-4956-bcb8-8b91b8664f16_T5VT1QD87I_MN_18122025.png"
Fresh Vegetables,All,Ralli Red Grapes (Seedless) (Drakshi),Fruits and Vegetables,105,105,N/A,N/A,In Stock,Unknown,Unknown,1.65729E+18,N/A,1/16/2026 13:35,560001,Smart Nav,https://www.swiggy.com/instamart/item/1657285814888270702,"https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/NI_CATALOG/IMAGES/CIW/2026/1/8/caa60819-15ed-44e3-aa6d-af28a472afbf_138896_1.png"
Fresh Vegetables,All,Daily Kinnow Orange (Kittale Hannu),Fruits and Vegetables,55,55,N/A,N/A,In Stock,Unknown,Unknown,6.61846E+18,N/A,1/16/2026 13:35,560001,Smart Nav,https://www.swiggy.com/instamart/item/6618456363758645020,"https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/NI_CATALOG/IMAGES/CIW/2026/1/13/42bb4165-124b-46fa-a883-342746e02fa7_505307_1.png"
Fresh Vegetables,All,Nendran Banana (Baalehannu),Fruits and Vegetables,49,49,N/A,N/A,In Stock,Unknown,Unknown,4.63746E+18,N/A,1/16/2026 13:35,560001,Smart Nav,https://www.swiggy.com/instamart/item/4637463621072423484,"https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/NI_CATALOG/IMAGES/ciw/2025/11/20/c8a3b9b3-811f-4ca9-ba65-be58e254df5e_8HF5WLLUSU_MN_20112025.jpg"
Fresh Vegetables,All,Baby Banana (Baalehannu),Fruits and Vegetables,22,22,N/A,N/A,In Stock,Unknown,Unknown,2.30884E+18,N/A,1/16/2026 13:35,560001,Smart Nav,https://www.swiggy.com/instamart/item/2308840657384206795,"https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/NI_CATALOG/IMAGES/ciw/2025/12/19/324e15b5-3655-4e2e-a94a-faa3dc167572_PR8FT7YZLV_MN_18122025.png"
Fresh Vegetables,All,Mahabaleshwar Raspberry,Fruits and Vegetables,255,255,N/A,N/A,In Stock,Unknown,Unknown,4.96651E+18,N/A,1/16/2026 13:35,560001,Smart Nav,https://www.swiggy.com/instamart/item/4966509836628190080,"https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/NI_CATALOG/IMAGES/CIW/2025/10/1/9f8239a4-8b5d-4b0e-9991-52502315320e_67188_1.png"
Fresh Vegetables,All,Daily Apple (Sebu),Fruits and Vegetables,105,105,N/A,N/A,In Stock,Unknown,Unknown,7.35098E+18,N/A,1/16/2026 13:35,560001,Smart Nav,https://www.swiggy.com/instamart/item/7350980120605825990,"https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/NI_CATALOG/IMAGES/ciw/2025/12/19/37eab284-fd0d-479a-ae65-9a9d78ab3413_SPTUC142PW_MN_18122025.png"
