Item Name,Selling Price,Weight,URL,Image,Extraction Type
Strawberry (Mahabaleshwar),94,1 pack (Approx. 180g - 200g),https://www.zepto.com/pn/strawberry-mahabaleshwar/pvid/d0a3ad74-8c00-4b37-bd4c-d87cef26714e,"https://cdn.zeptonow.com/production/tr:w-403,ar-3000-3000,pr-true,f-auto,q-40,dpr-2/cms/product_variant/bb4df5b6-84d4-4aa8-8f32-2df99d9a52fc.jpg",DOM Fallback
Coriander leaves,10,1 pack (100 g),https://www.zepto.com/pn/coriander-leaves/pvid/90ec80d3-40d9-46b6-8ccb-e1b8cb65a76d,"https://cdn.zeptonow.com/production/tr:w-403,ar-3000-3000,pr-true,f-auto,q-40,dpr-2/cms/product_variant/8d42f6c5-4e11-436d-81c4-cc24a3b28bcc.jpeg",DOM Fallback
Organically Grown Coriander Leaves,14,100 g,https://www.zepto.com/pn/organically-grown-coriander-leaves/pvid/fac392a6-34be-4190-b35d-81e1562cef9e,"https://cdn.zeptonow.com/production/tr:w-403,ar-883-883,pr-true,f-auto,q-40,dpr-2/cms/product_variant/668319e0-9429-4f41-8c6e-adc3dca147eb.png",DOM Fallback
Banana Robusta,27,4 pcs,https://www.zepto.com/pn/banana-robusta/pvid/436c0025-de54-4748-a189-79e292f26071,"https://cdn.zeptonow.com/production/tr:w-403,ar-3000-3000,pr-true,f-auto,q-40,dpr-2/cms/product_variant/2ee02a46-99b9-4fc7-b389-0e881c02fe56.jpeg",DOM Fallback
Tomato Local,34,500 g,https://www.zepto.com/pn/tomato-local/pvid/7e261768-88d6-4cbb-8b9b-8718625577bd,"https://cdn.zeptonow.com/production/tr:w-403,ar-1024-1024,pr-true,f-auto,q-40,dpr-2/cms/product_variant/51f0d9cc-1416-40ae-a035-3923074158d7.jpeg",DOM Fallback
Mushroom Button,75,200 g,https://www.zepto.com/pn/mushroom-button/pvid/178b3f0f-c01d-4065-8f5c-d1902cbb5d51,"https://cdn.zeptonow.com/production/tr:w-403,ar-3000-3000,pr-true,f-auto,q-40,dpr-2/cms/product_variant/6900fabb-295e-4b88-898d-5a2cee7bc696.jpeg",DOM Fallback
Chilli Green,25,100 g,https://www.zepto.com/pn/chilli-green/pvid/3fa81cc0-d5c2-4865-a576-df4677972b26,"https://cdn.zeptonow.com/production/tr:w-403,ar-3000-3000,pr-true,f-auto,q-40,dpr-2/cms/product_variant/831b1429-cec1-4178-811c-3fa88bf689f1.jpeg",DOM Fallback
Organically Grown Curry Leaves,14,50 g,https://www.zepto.com/pn/organically-grown-curry-leaves/pvid/b65fe904-4430-412c-ae5c-fcb294439a4e,"https://cdn.zeptonow.com/production/tr:w-403,ar-937-937,pr-true,f-auto,q-40,dpr-2/cms/product_variant/07ec9c68-fa5c-4752-b4f2-ed7f85f070a9.jpeg",DOM Fallback
Fresh Onion,51,1 Pack / 900 -1000 gm,https://www.zepto.com/pn/fresh-onion/pvid/5b5c1960-d2d1-4528-8a74-bc7280174071,"https://cdn.zeptonow.com/production/tr:w-403,ar-1024-1024,pr-true,f-auto,q-40,dpr-2/cms/product_variant/1e55d6e9-6958-40d3-ac15-1b63fc49e248.jpeg",DOM Fallback
Guava Thai,62,1 pc,https://www.zepto.com/pn/guava-thai/pvid/6ed88f72-38da-433a-8506-d601f4d5916d,"https://cdn.zeptonow.com/production/tr:w-403,ar-3000-3000,pr-true,f-auto,q-40,dpr-2/cms/product_variant/85ea6516-de09-455a-a332-cedcada09588.jpeg",DOM Fallback
Organically Grown Chilli,19,100 g,https://www.zepto.com/pn/organically-grown-chilli/pvid/fb80f31e-09d7-400b-9848-0d4d6457d500,"https://cdn.zeptonow.com/production/tr:w-403,ar-937-937,pr-true,f-auto,q-40,dpr-2/cms/product_variant/3715648e-7033-4a28-8a62-fae11a4683c5.png",DOM Fallback
"Spinach (Palak) - Cleaned, without roots",30,1 pack (250 g),https://www.zepto.com/pn/spinach-palak-cleaned-without-roots/pvid/eeb31b35-04a7-47a7-a434-dd6625f1e82c,"https://cdn.zeptonow.com/production/tr:w-403,ar-3000-3000,pr-true,f-auto,q-40,dpr-2/cms/product_variant/267ab85f-24b7-4702-b304-4cb1d81e9bd2.jpeg",DOM Fallback
