Category,Subcategory,Item Name,Brand,Mrp,Selling Price,Weight,Delivery ETA,Availability,Inventory,Store ID,Base Product ID,Shelf Life,Timestamp,Pincode,Clicked Label,URL,Image
Fruits & Vegetables,All,Strawberry (Mahabaleshwar),Unknown,92,92,1 pack (Approx. 180g - 200g),7 min,In Stock,Unknown,Unknown,Unknown,N/A,2026-01-16 11:21:05,560001,Smart Nav / Direct,N/A,"https://cdn.zeptonow.com/production/tr:w-403,ar-3000-3000,pr-true,f-auto,q-40,dpr-2/cms/product_variant/bb4df5b6-84d4-4aa8-8f32-2df99d9a52fc.jpg"
Fruits & Vegetables,All,Coriander leaves,Unknown,10,10,1 pack (100 g),7 min,In Stock,Unknown,Unknown,Unknown,N/A,2026-01-16 11:21:05,560001,Smart Nav / Direct,N/A,"https://cdn.zeptonow.com/production/tr:w-403,ar-3000-3000,pr-true,f-auto,q-40,dpr-2/cms/product_variant/8d42f6c5-4e11-436d-81c4-cc24a3b28bcc.jpeg"
Fruits & Vegetables,All,Organically Grown Coriander Leaves,Unknown,14,14,100 g,7 min,In Stock,Unknown,Unknown,Unknown,N/A,2026-01-16 11:21:05,560001,Smart Nav / Direct,N/A,"https://cdn.zeptonow.com/production/tr:w-403,ar-883-883,pr-true,f-auto,q-40,dpr-2/cms/product_variant/668319e0-9429-4f41-8c6e-adc3dca147eb.png"
Fruits & Vegetables,All,Banana Robusta,Unknown,27,27,4 pcs,7 min,In Stock,Unknown,Unknown,Unknown,N/A,2026-01-16 11:21:05,560001,Smart Nav / Direct,N/A,"https://cdn.zeptonow.com/production/tr:w-403,ar-3000-3000,pr-true,f-auto,q-40,dpr-2/cms/product_variant/2ee02a46-99b9-4fc7-b389-0e881c02fe56.jpeg"
Fruits & Vegetables,All,Tomato Local,Unknown,33,33,500 g,7 min,In Stock,Unknown,Unknown,Unknown,N/A,2026-01-16 11:21:05,560001,Smart Nav / Direct,N/A,"https://cdn.zeptonow.com/production/tr:w-403,ar-1024-1024,pr-true,f-auto,q-40,dpr-2/cms/product_variant/51f0d9cc-1416-40ae-a035-3923074158d7.jpeg"
Fruits & Vegetables,All,Mushroom Button,Unknown,75,75,200 g,7 min,In Stock,Unknown,Unknown,Unknown,N/A,2026-01-16 11:21:05,560001,Smart Nav / Direct,N/A,"https://cdn.zeptonow.com/production/tr:w-403,ar-3000-3000,pr-true,f-auto,q-40,dpr-2/cms/product_variant/6900fabb-295e-4b88-898d-5a2cee7bc696.jpeg"
Fruits & Vegetables,All,Chilli Green,Unknown,26,26,100 g,7 min,In Stock,Unknown,Unknown,Unknown,N/A,2026-01-16 11:21:05,560001,Smart Nav / Direct,N/A,"https://cdn.zeptonow.com/production/tr:w-403,ar-3000-3000,pr-true,f-auto,q-40,dpr-2/cms/product_variant/831b1429-cec1-4178-811c-3fa88bf689f1.jpeg"
Fruits & Vegetables,All,Organically Grown Curry Leaves,Unknown,14,14,50 g,7 min,In Stock,Unknown,Unknown,Unknown,N/A,2026-01-16 11:21:05,560001,Smart Nav / Direct,N/A,"https://cdn.zeptonow.com/production/tr:w-403,ar-937-937,pr-true,f-auto,q-40,dpr-2/cms/product_variant/07ec9c68-fa5c-4752-b4f2-ed7f85f070a9.jpeg"
Fruits & Vegetables,All,Fresh Onion,Unknown,47,47,1 Pack / 900 -1000 gm,7 min,In Stock,Unknown,Unknown,Unknown,N/A,2026-01-16 11:21:05,560001,Smart Nav / Direct,N/A,"https://cdn.zeptonow.com/production/tr:w-403,ar-1024-1024,pr-true,f-auto,q-40,dpr-2/cms/product_variant/1e55d6e9-6958-40d3-ac15-1b63fc49e248.jpeg"
Fruits & Vegetables,All,Guava Thai,Unknown,62,62,1 pc,7 min,In Stock,Unknown,Unknown,Unknown,N/A,2026-01-16 11:21:05,560001,Smart Nav / Direct,N/A,"https://cdn.zeptonow.com/production/tr:w-403,ar-3000-3000,pr-true,f-auto,q-40,dpr-2/cms/product_variant/85ea6516-de09-455a-a332-cedcada09588.jpeg"
Fruits & Vegetables,All,Organically Grown Chilli,Unknown,19,19,100 g,7 min,In Stock,Unknown,Unknown,Unknown,N/A,2026-01-16 11:21:05,560001,Smart Nav / Direct,N/A,"https://cdn.zeptonow.com/production/tr:w-403,ar-937-937,pr-true,f-auto,q-40,dpr-2/cms/product_variant/3715648e-7033-4a28-8a62-fae11a4683c5.png"
Fruits & Vegetables,All,"Spinach (Palak) - Cleaned, without roots",Unknown,30,30,1 pack (250 g),7 min,In Stock,Unknown,Unknown,Unknown,N/A,2026-01-16 11:21:05,560001,Smart Nav / Direct,N/A,"https://cdn.zeptonow.com/production/tr:w-403,ar-3000-3000,pr-true,f-auto,q-40,dpr-2/cms/product_variant/267ab85f-24b7-4702-b304-4cb1d81e9bd2.jpeg"
Fruits & Vegetables,All,Fresh Potato,Unknown,45,45,1 pack (900 g - 1 kg),7 min,In Stock,Unknown,Unknown,Unknown,N/A,2026-01-16 11:21:05,560001,Smart Nav / Direct,N/A,"https://cdn.zeptonow.com/production/tr:w-403,ar-1024-1024,pr-true,f-auto,q-40,dpr-2/cms/product_variant/c4286d3c-8773-4dce-8b47-341a5d394978.png"
Fruits & Vegetables,All,Banana Elaichi / Yelakki,Unknown,50,50,500 g,7 min,In Stock,Unknown,Unknown,Unknown,N/A,2026-01-16 11:21:05,560001,Smart Nav / Direct,N/A,"https://cdn.zeptonow.com/production/tr:w-403,ar-3000-3000,pr-true,f-auto,q-40,dpr-2/cms/product_variant/0f94f079-b7ec-4e97-a4f7-85a4f4d5625c.jpeg"
